action,search_n_nodes,search_depth,n_calls,n_call_dict,n_sol,env_name,seed
2,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
2,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
2,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
4,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
2,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
3,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
3,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
3,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
3,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
1,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
3,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
2,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
3,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
3,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
2,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
3,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
3,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
3,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
1,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
1,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
1,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
1,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
4,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
4,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
4,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
4,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
3,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
2,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
2,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
2,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
2,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
2,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
2,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
2,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
3,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
1,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
1,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
1,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
1,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
1,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
1,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
3,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
1,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
4,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
4,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
3,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
3,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
3,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
3,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
2,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
2,1562,3,1762.0,"{0: 0, 1: 102, 2: 1659, 3: 1}",1,Env6D0,0
